date,product_id,category,price,promotion,stock,demand
2023-01-01,A,Electronics,116,1,121,95
2023-01-01,B,Grocery,126,0,149,97
2023-01-01,C,Clothing,62,0,307,45
2023-01-01,D,Home,30,0,210,22
2023-01-01,E,Sports,98,0,98,71
2023-01-02,A,Electronics,199,0,495,85
2023-01-02,B,Grocery,117,0,104,66
2023-01-02,C,Clothing,82,0,216,74
2023-01-02,D,Home,69,1,63,50
2023-01-02,E,Sports,101,0,416,82
2023-01-03,A,Electronics,17,0,480,76
2023-01-03,B,Grocery,11,0,439,58
2023-01-03,C,Clothing,63,0,240,72
2023-01-03,D,Home,23,1,400,153
2023-01-03,E,Sports,199,0,345,72
2023-01-04,A,Electronics,197,0,429,80
2023-01-04,B,Grocery,54,0,114,60
2023-01-04,C,Clothing,72,0,188,17
2023-01-04,D,Home,42,0,428,25
2023-01-04,E,Sports,81,1,317,85
2023-01-05,A,Electronics,160,0,111,66
2023-01-05,B,Grocery,110,0,480,46
2023-01-05,C,Clothing,14,1,267,141
2023-01-05,D,Home,24,0,395,38
2023-01-05,E,Sports,188,0,112,62
2023-01-06,A,Electronics,160,1,280,45
2023-01-06,B,Grocery,45,0,62,32
2023-01-06,C,Clothing,54,1,111,68
2023-01-06,D,Home,37,0,77,74
2023-01-06,E,Sports,101,0,280,69
2023-01-07,A,Electronics,130,0,332,96
2023-01-07,B,Grocery,164,0,186,19
2023-01-07,C,Clothing,60,0,283,88
2023-01-07,D,Home,189,0,162,51
2023-01-07,E,Sports,61,1,317,125
2023-01-08,A,Electronics,122,0,51,61
2023-01-08,B,Grocery,96,0,273,19
2023-01-08,C,Clothing,169,0,247,24
2023-01-08,D,Home,192,0,252,39
2023-01-08,E,Sports,125,0,147,52
2023-01-09,A,Electronics,153,0,146,93
2023-01-09,B,Grocery,157,0,301,91
2023-01-09,C,Clothing,99,0,196,74
2023-01-09,D,Home,48,0,387,51
2023-01-09,E,Sports,194,0,483,29
2023-01-10,A,Electronics,138,0,353,70
2023-01-10,B,Grocery,169,0,58,42
2023-01-10,C,Clothing,161,1,103,145
2023-01-10,D,Home,84,0,162,57
2023-01-10,E,Sports,91,0,243,31
2023-01-11,A,Electronics,198,0,218,64
2023-01-11,B,Grocery,154,1,177,42
2023-01-11,C,Clothing,196,0,420,41
2023-01-11,D,Home,118,1,100,85
2023-01-11,E,Sports,36,1,275,129
2023-01-12,A,Electronics,70,1,353,119
2023-01-12,B,Grocery,58,0,66,40
2023-01-12,C,Clothing,108,1,429,105
2023-01-12,D,Home,55,1,230,92
2023-01-12,E,Sports,169,0,210,87
2023-01-13,A,Electronics,34,0,272,80
2023-01-13,B,Grocery,26,0,153,63
2023-01-13,C,Clothing,185,0,88,64
2023-01-13,D,Home,22,1,365,104
2023-01-13,E,Sports,182,0,69,41
2023-01-14,A,Electronics,124,0,192,47
2023-01-14,B,Grocery,95,0,100,114
2023-01-14,C,Clothing,95,0,354,25
2023-01-14,D,Home,24,0,103,56
